,DATES,DATES.1,NetworkTyp,SuCode,Trit,jdate,well,cov,calc_3H_,por,model
18,2003-11-06,2003-11-06,TANC,conntanc,7.34,2452949.5,413122073122403,0.4181946217636391,15.487318238035574,0.3999999999999996,CONN
19,2004-08-24,2004-08-24,TANC,conntanc,6.89,2453241.5,413134073120401,89.73535286310975,14.348023380089936,0.2396640895564759,CONN
20,2003-11-19,2003-11-19,TANC,conntanc,7.91,2452962.5,413128073121002,0.1062430653546309,16.445408491710978,0.4,CONN
21,2004-10-14,2004-10-14,TANC,conntanc,6.74,2453292.5,413134073120402,41.943085714241654,14.256930119199385,0.24234501174443804,CONN
22,2003-11-24,2003-11-24,TANC,conntanc,6.57,2452967.5,413118073123201,3.963006492770518,15.984236154669759,0.22294140239439453,CONN
23,2003-12-17,2003-12-17,TANC,conntanc,7.11,2452990.5,413122073122402,0.009476514107383305,3.911229434517809,0.3999999999998513,CONN
24,2003-12-08,2003-12-08,TANC,conntanc,7.15,2452981.5,413144073115702,0.0007161242557864643,14.227904517904511,0.010000000008356793,CONN
25,2003-11-18,2003-11-18,TANC,conntanc,7.27,2452961.5,413128073121001,0.10629500801646788,16.44840112978182,0.4,CONN
26,2003-12-02,2003-12-02,TANC,conntanc,7.44,2452975.5,413144073115701,0.001042523926471079,14.663477127378135,0.010000000000344459,CONN
27,2003-12-18,2003-12-18,TANC,conntanc,7.25,2452991.5,413130073115901,0.062374940263460736,13.219528958632985,0.3999999999522832,CONN
28,2004-08-25,2004-08-25,TANC,conntanc,6.97,2453242.5,413130073120501,20.943139522581912,14.586821454575016,0.2821054342523296,CONN
0,2013-08-22,2013-08-22,PAS,glacpas1,4.76,2456526.5,452828091060101,3.620751732849125e-05,4.76000082508032,0.2912429567728657,huc_07050002_domain
0,1994-09-16,1994-09-16,LUS,wmiclusag2,15.05,2449611.5,440827089255001,0.0002861095546955012,0.0970086207664706,0.20534155588795674,huc_07070003_domain
1,2014-07-08,2014-07-08,LUS,wmiclusag2,6.32,2456846.5,440827089255001,0.0002861095546955012,8.644231930857451,0.20534155588795674,huc_07070003_domain
0,1998-07-01,1998-07-01,SUS,eiwasus2,10.85,2450995.5,422555092135201,0.0032543563723015537,10.295667626125155,0.205,huc_07080205_domain
1,1997-06-18,1997-06-18,LUS,eiwalusrc1,12.45,2450617.5,422913092192501,7.655752925490566,17.231421631993168,0.20802936805687686,huc_07080205_domain
2,1997-07-23,1997-07-23,LUS,eiwalusrc1,9.72,2450652.5,422754092375301,0.0024834544242244186,21.589904929323545,0.3261627250855097,huc_07080205_domain
3,1997-07-21,1997-07-21,LUS,eiwalusrc1,12.95,2450650.5,421012092020101,0.00026432051145728496,18.216365272834746,0.026128093954398884,huc_07080205_domain
4,1997-07-21,1997-07-21,LUS,eiwalusrc1,6.71,2450650.5,420936092005701,8.723275073336829e-05,6.710001360241344,0.2125557643940955,huc_07080205_domain
