,tau_glac,tau_bed,tau_tot,rech_vol,rech_frac,Kf,Kc,Kb,vani,hydro,topo,num_active,num_active_surf,aq_vol,fKf_vol,fKc_vol,fKlake_vol,fKb_vol,drn_dens_area,model
Whitedam3,5.229881763458252,39.66612243652344,29.10141944885254,1265368.0,0.6019999980926514,1.4677992676220697,6.812920690579611,14.677992676220688,316.2277526855469,0.13291312688407786,0.13290708747109234,132212.0,33053.0,111745667853.44441,0.06387530442061709,0.05804132530193849,0.018805344854204962,0.8592780254232393,0.12180437479200072,whitedam3
huc_07030001_domain,23.225025177001953,171.7752685546875,60.63843536376953,506771.0,0.21799999475479126,6.812920690579611,68.12920690579611,1.4677992676220697,100.0,0.08092392182199967,0.031107663543966425,225872.0,56468.0,257642054051.78094,0.2447793663458394,0.11460993817490345,0.012300479460864691,0.6283102160183923,0.13995537295459376,huc_07030001_domain
huc_07050002_domain,22.056764602661133,104.53965759277344,51.8283576965332,486886.0,0.2849999964237213,0.6812920690579612,6.812920690579611,1.4677992676220697,10.0,0.05759162303664921,0.041309263180562036,131316.0,32829.0,161807615508.8321,0.22144029508806487,0.1606502278713651,0.04183811701005099,0.5760713600305192,0.1627219836120503,huc_07050002_domain
huc_07070001_domain,28.59939956665039,646.6317749023438,60.59268569946289,145732.0,0.04899999871850014,1.4677992676220697,6.812920690579611,0.31622776601683794,50.0,0.08531390134529147,0.043602352714299485,243100.0,60775.0,325904652053.3688,0.22201346358215496,0.20443513563658,0.0440481270844623,0.5295032736968027,0.15435623200329082,huc_07070001_domain
huc_07070003_domain,47.77776336669922,353.6632995605469,158.4445037841797,382969.0,0.31299999356269836,6.812920690579611,146.77992676220688,0.6812920690579612,1.0,0.047747504720798487,0.028209419077217312,362392.0,90598.0,354112086413.43024,0.22043661045917726,0.05704063507468774,0.007805566108447232,0.7147171883576879,0.20964038941256982,huc_07070003_domain
huc_07080205_domain,25.2581729888916,72.25007629394531,53.173152923583984,1443355.0,0.38600000739097595,1.4677992676220697,31.622776601683796,1.4677992676220697,1.0,0.017815902342461234,0.019525961209076226,269460.0,67365.0,362766140291.0757,0.43935254740659124,0.033994276112322315,0.00010434276434369277,0.5265488337167429,0.2923773472871669,huc_07080205_domain
huc_07090006_domain,36.51885986328125,44.03001403808594,63.83271789550781,1223395.0,0.6200000047683716,0.31622776601683794,6.812920690579611,6.812920690579611,1.0,0.03404669260700389,0.02902730321933482,139940.0,34985.0,229880501220.56256,0.4417247215718487,0.12969731398427192,0.000368125154134726,0.42820983928974443,0.24201800771759324,huc_07090006_domain
huc_07120003_domain,14.771206855773926,24.93750762939453,35.85359573364258,1136214.0,0.8450000286102295,0.31622776601683794,31.622776601683796,68.12920690579611,1.0,0.09610983981693363,0.09990928333837316,73132.0,18283.0,88000727161.81554,0.3260750305476827,0.08486357504301818,0.0006408148135046577,0.5884205795957945,0.13498878739812942,huc_07120003_domain
huc_07120004_domain,18.238645553588867,37.89219665527344,40.97433853149414,1652261.0,0.6000000238418579,3.1622776601683795,14.677992676220688,6.812920690579611,1.0,0.05594231725509697,0.05839715536105033,162328.0,40582.0,206048745798.76346,0.3880930453592174,0.05068712197681121,0.003285563455305315,0.557934269208666,0.19779705288058747,huc_07120004_domain
huc_07130009_domain,40.89291763305664,41.42808532714844,65.88329315185547,1948520.0,0.6029999852180481,0.31622776601683794,14.677992676220688,6.812920690579611,1.0,0.0461872849121536,0.04714224323162871,208244.0,52061.0,388653455424.3349,0.5371715672862514,0.08237347481912283,0.0010613011693619346,0.3793936567252638,0.26755152609438926,huc_07130009_domain
