,Kf,Kc,Kb,vani,hydro,topo,sse,p5,p10,p20,Best,diff_error,sum_error
78,0.31622776601683794,3.1622776601683795,3.1622776601683795,3.1622776601683795,0.07719682452778538,0.06470715366328074,115.50586588577606,0.029490816783634462,0.013625503956995669,0.0023144691652978947,low_sum,0.012489670864504643,0.14190397819106612
79,0.31622776601683794,3.1622776601683795,3.1622776601683795,31.622776601683793,0.060498220640569395,0.12150421439377566,98.62499628299271,0.04670001493205913,0.021352844557264446,0.004330297147976706,0.0,0.06100599375320627,0.18200243503434504
80,0.6812920690579612,3.1622776601683795,0.31622776601683794,3.1622776601683795,0.05611825896523406,0.1848281824076075,64.6343069198392,0.08817380916828431,0.041324473644915635,0.017321188591906823,0.0,0.12870992344237345,0.24094644137284157
81,0.6812920690579612,3.1622776601683795,0.31622776601683794,31.622776601683793,0.05338078291814947,0.2121893235357683,60.32371807748745,0.10023144691652978,0.04539345975810064,0.01881439450500224,0.0,0.15880854061761884,0.26557010645391776
82,0.6812920690579612,3.1622776601683795,0.6812920690579612,3.1622776601683795,0.0591294826170271,0.13321806786254592,75.88985602277151,0.059952217410780946,0.03150664476631328,0.012393609078691952,0.0,0.07408858524551881,0.19234755047957303
83,0.6812920690579612,3.1622776601683795,0.6812920690579612,31.622776601683793,0.055844511360525595,0.1654635833153231,69.61545668633039,0.07357772136777661,0.03509033895774227,0.013961475287442139,0.0,0.1096190719547975,0.2213080946758487
84,0.6812920690579612,3.1622776601683795,1.4677992676220695,3.1622776601683795,0.06597317273473857,0.08947482169872488,95.24936852118871,0.040353889801403614,0.023070031357324175,0.0055248618784530384,0.0,0.023501648963986307,0.15544799443346347
85,0.6812920690579612,3.1622776601683795,1.4677992676220695,31.622776601683793,0.059676977826444016,0.1183488221309704,86.12097045202331,0.04938778557563088,0.02635508436613409,0.007466029565477079,0.0,0.05867184430452638,0.1780257999574144
86,0.6812920690579612,3.1622776601683795,3.1622776601683795,3.1622776601683795,0.07938680536545305,0.05943375837475686,118.51684817376629,0.02669105569658056,0.011012393609078693,0.0022024787218157386,low_sum,0.019953046990696187,0.1388205637402099
87,0.6812920690579612,3.1622776601683795,3.1622776601683795,31.622776601683793,0.06542567752532165,0.08394207910092932,106.20079652337405,0.03535164999253397,0.015604001791847096,0.0027624309392265192,0.0,0.018516401575607674,0.14936775662625096
88,1.4677992676220695,3.1622776601683795,0.31622776601683794,3.1622776601683795,0.05830823980290172,0.13321806786254592,71.54367225631314,0.06219202628042407,0.030125429296700014,0.008884575182917725,0.0,0.07490982805964419,0.19152630766544765
89,1.4677992676220695,3.1622776601683795,0.31622776601683794,31.622776601683793,0.05529701615110868,0.14670412794467258,67.80140570830154,0.06734358668060325,0.0316932955054502,0.00933253695684635,0.0,0.0914071117935639,0.20200114409578127
90,1.4677992676220695,3.1622776601683795,0.6812920690579612,3.1622776601683795,0.062414453873528605,0.10637562135292847,82.54209240327496,0.04718530685381514,0.025235179931312527,0.0064581155741376736,0.0,0.04396116747939986,0.16879007522645706
91,1.4677992676220695,3.1622776601683795,0.6812920690579612,31.622776601683793,0.057760744593484806,0.12137454073913984,77.60704740354485,0.053083470210542036,0.027362998357473495,0.007279378826340152,0.0,0.06361379614565503,0.17913528533262463
92,1.4677992676220695,3.1622776601683795,1.4677992676220695,3.1622776601683795,0.07090062961949083,0.07659390533823211,100.32722752952877,0.03479169777512319,0.018553083470210542,0.0036583544870837687,low_sum,0.005693275718741286,0.14749453495772294
93,1.4677992676220695,3.1622776601683795,1.4677992676220695,31.622776601683793,0.06405693950177936,0.09228441754916793,93.5948973851891,0.03975660743616545,0.020718232044198894,0.0037703449305659252,0.0,0.028227478047388566,0.1563413570509473
94,1.4677992676220695,3.1622776601683795,3.1622776601683795,3.1622776601683795,0.0823980290172461,0.05390101577696131,121.88928234186265,0.02426459608780051,0.007690010452441391,0.0017171868000597282,low_sum,0.028497013240284794,0.1362990447942074
95,1.4677992676220695,3.1622776601683795,3.1622776601683795,31.622776601683793,0.069805639200657,0.0671277285498163,112.85522750021462,0.028930864566223683,0.010415111243840525,0.0022024787218157386,low_sum,0.0026779106508406925,0.1369333677504733
96,0.31622776601683794,6.812920690579611,0.31622776601683794,3.1622776601683795,0.06679441554886395,0.2128376918089475,66.62007449109008,0.10952665372554875,0.04808123040167239,0.012692250261311034,0.0,0.14604327626008354,0.2796321073578114
97,0.31622776601683794,6.812920690579611,0.31622776601683794,31.622776601683793,0.06296194908294553,0.2613788631942944,62.914656774359386,0.14200388233537406,0.0626399880543527,0.01426011647006122,0.0,0.19841691411134885,0.3243408122772399
98,0.31622776601683794,6.812920690579611,0.6812920690579612,3.1622776601683795,0.07144812482890775,0.14579641236222174,76.83360825349833,0.06454382559354935,0.02456323727041959,0.008847245035090339,0.0,0.07434828753331399,0.2172445371911295
99,0.31622776601683794,6.812920690579611,0.6812920690579612,31.622776601683793,0.06487818231590474,0.2077371947266047,69.76802585635703,0.09821561893385097,0.03509033895774227,0.010564431835150068,0.0,0.14285901241069998,0.27261537704250943
100,0.31622776601683794,6.812920690579611,1.4677992676220695,3.1622776601683795,0.07829181494661921,0.08761616598227794,96.80298129879314,0.037031506644766315,0.015529341496192325,0.002575780200089592,0.0,0.00932435103565872,0.16590798092889714
101,0.31622776601683794,6.812920690579611,1.4677992676220695,31.622776601683793,0.06871064878182316,0.15145882861465312,85.56750010197773,0.058981633567268925,0.02053158130506197,0.006346125130655517,0.0,0.08274817983282996,0.2201694773964763
102,0.31622776601683794,6.812920690579611,3.1622776601683795,3.1622776601683795,0.09088420476320833,0.05658093797276853,120.00725151736563,0.021054203374645364,0.006980737643721069,0.0,low_sum,0.034303266790439796,0.14746514273597686
103,0.31622776601683794,6.812920690579611,3.1622776601683795,31.622776601683793,0.07692307692307693,0.10883942079100929,105.27231609928913,0.03774077945348664,0.012281618635209796,0.0010825742869941765,0.0,0.031916343867932365,0.1857624977140862
104,0.6812920690579612,6.812920690579611,0.31622776601683794,3.1622776601683795,0.0684369011771147,0.15033499027447592,69.95078654860407,0.06719426608929371,0.026803046140062715,0.008847245035090339,0.0,0.08189808909736121,0.21877189145159062
105,0.6812920690579612,6.812920690579611,0.31622776601683794,31.622776601683793,0.06460443471119627,0.17445429003674087,65.66703253906215,0.07783335822009856,0.030125429296700014,0.00948185754815589,0.0,0.1098498553255446,0.23905872474793716
106,0.6812920690579612,6.812920690579611,0.6812920690579612,3.1622776601683795,0.07226936764303313,0.10685109141992652,81.76548786146554,0.045617440645064955,0.019187695983276094,0.00567418246976258,0.0,0.03458172377689339,0.17912045906295965
107,0.6812920690579612,6.812920690579611,0.6812920690579612,31.622776601683793,0.06679441554886395,0.13511994813053815,75.90832653340709,0.05651784381066149,0.021800806331193072,0.006719426608929371,0.0,0.0683255325816742,0.2019143636794021
108,0.6812920690579612,6.812920690579611,1.4677992676220695,3.1622776601683795,0.07883931015603614,0.0735249621785174,100.92400684619808,0.031096013140212035,0.013438853217858742,0.0013812154696132596,0.0,0.0053143479775187435,0.15236427233455352
109,0.6812920690579612,6.812920690579611,1.4677992676220695,31.622776601683793,0.0717218724336162,0.0977739355954182,92.88030045450965,0.03893534418396297,0.01549201134836494,0.0021278184261609677,0.0,0.02605206316180199,0.1694958080290344
110,0.6812920690579612,6.812920690579611,3.1622776601683795,3.1622776601683795,0.09307418560087599,0.05161011454506159,122.98502824885745,0.018403762878901,0.005487531730625653,0.0,low_sum,0.0414640710558144,0.14468430014593758
111,0.6812920690579612,6.812920690579611,3.1622776601683795,31.622776601683793,0.08212428141253764,0.07283336935379295,112.79082170273976,0.02560848140958638,0.00810064207854263,0.0,0.0,0.009290912058744688,0.15495765076633058
112,1.4677992676220695,6.812920690579611,0.31622776601683794,3.1622776601683795,0.07062688201478237,0.1035660255024854,77.61245164240647,0.04289233985366582,0.017881140809317606,0.0020158279826788116,0.0,0.032939143487703035,0.1741929075172678
113,1.4677992676220695,6.812920690579611,0.31622776601683794,31.622776601683793,0.06734191075828086,0.11242705856926734,74.08084343956645,0.04670001493205913,0.0186650739136927,0.002165148573988353,0.0,0.04508514781098648,0.1797689693275482
114,1.4677992676220695,6.812920690579611,0.6812920690579612,3.1622776601683795,0.07610183410895155,0.08338015993084072,88.80247958517349,0.033223831566373,0.015044049574436315,0.0007092728087203225,0.0,0.00727832582188917,0.15948199403979227
115,1.4677992676220695,6.812920690579611,0.6812920690579612,31.622776601683793,0.07090062961949083,0.09401339961097904,84.3979449801093,0.037106166940421084,0.016089293713603105,0.0011945647304763326,0.0,0.023112769991488216,0.16491402923046988
